INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_100_50_3_1_5.txt;477;837;0;480;670;1014;237;477;10015;480;840;0;480;840;1;480;840;9
;problem_100_50_3_2_5.txt;802;1392;0;831;1211;1014;129;369;10015;831;1421;0;831;1421;4;831;1421;43
;problem_100_50_3_3_5.txt;1268;1958;0;1273;1823;1014;179;419;10015;1276;1966;0;1276;1966;8;1276;1966;49
;problem_100_50_3_4_5.txt;1708;2518;0;1308;1858;1014;129;359;10015;1743;2553;0;1743;2553;13;1743;2553;9
;problem_100_50_3_5_5.txt;1992;2902;0;1194;1744;1014;130;360;10015;2011;2921;0;2011;2921;15;2011;2921;36
;problem_100_50_4_1_5.txt;437;437;0;480;480;1014;480;480;156;480;480;0;480;480;0;480;480;10
;problem_100_50_4_2_5.txt;830;830;0;831;831;1014;655;655;10015;831;831;0;831;831;1;831;831;8
;problem_100_50_4_3_5.txt;1261;1261;0;1276;1276;1014;655;655;10015;1276;1276;0;1276;1276;2;1276;1276;9
;problem_100_50_4_4_5.txt;1719;1719;0;1601;1601;1014;631;631;10015;1743;1743;0;1743;1743;5;1743;1743;10
;problem_100_50_4_5_5.txt;2005;2005;0;1260;1260;1014;536;536;10015;2011;2011;0;2011;2011;8;2011;2011;10
;problem_100_100_1_1_5.txt;941;2299;0;921;1158;1014;559;1730;10015;941;2299;0;941;2299;2;941;2299;13
;problem_100_100_1_2_5.txt;1632;3377;0;1673;2219;1014;328;1547;10015;1676;3412;0;1676;3412;5;1676;3412;25
;problem_100_100_1_3_5.txt;2685;4068;0;2654;2941;1014;531;1682;10015;2718;4093;0;2718;4093;10;2718;4093;14
